Date,Glyphe,Chiffre,Glyphe+Chiffre,Couleur,Note,date_iso,lune_distance_km,lune_proximite,lune_illumination_pct,lune_phase_nom,lune_signe,soleil_distance_ua,mercure_distance_ua,vénus_distance_ua,mars_distance_ua,jupiter_distance_ua,saturne_distance_ua,planete_proche_1,planete_proche_2,planete_proche_3,planete_proche_1_dist_ua,planete_proche_2_dist_ua,planete_proche_3_dist_ua,mercure_retrograde,venus_retrograde,mars_retrograde,saturne_retrograde,jupiter_retrograde,retrogrades_actifs,kp_moy,kp_max,kp_alerte,meteo_temp_max_c,meteo_temp_min_c,meteo_precipitations_mm,meteo_vent_max_kmh,meteo_pression_hpa,meteo_code_wmo,meteo_orage,score,theme_jungien,f107,ssn,flares_c,flares_m,flares_x,flares_mx,flares_total,soleil_ua,f107_cat,ssn_cat
08/05/2025,Imix,Hun,Imix Hun,#FFFF99,Mise en ligne de mon app. Une belle journée. Débroussaillage l'aprem et finitions de l'app pour ce nouveau jour d'ouverture du tzoklin. Un nouveau Tzolk'in commence et l'app est prête,2025-05-08,403613.0,6.1,84.6,Gibbeuse Croissante,Balance,1.0093,1.1074,0.5127,1.4901,5.9225,10.2155,Vénus,Soleil,Mercure,0.5127,1.0093,1.1074,False,False,False,False,False,Aucun,2.25,3.67,Légèrement actif,17.2,7.7,0.1,14.5,989.4,51,False,4,Soi,149,84,9,0,0,0,9,1.0093,Modéré (120-150),Modéré (50-100)
09/05/2025,Ik,Ca,Ik Ca,#FFFF99,Vautour solitaire de ma retraite. Pardon avec Rita pendant débroussaillage. Esséniens. Grand groupe de vautours très proche pour accueillir les Esséniens et escargot accroché à ma manche. Une belle journée,2025-05-09,405307.0,2.8,90.8,Gibbeuse Croissante,Balance,1.0095,1.1225,0.5203,1.4992,5.9318,10.2028,Vénus,Soleil,Mercure,0.5203,1.0095,1.1225,False,False,False,False,False,Aucun,2.83,4.67,Actif,18.0,8.4,0.2,12.1,992.0,51,False,5,Soi,136,77,7,0,0,0,7,1.0095,Modéré (120-150),Modéré (50-100)
10/05/2025,Akbal,Ox,Akbal Ox,#CCFFCC,"Acceptation C'est une constante toutes les nuits les choses se mettent à mal marcher ! Bizarre. Il faut que j'aille dormir. Tout à l'heure célébrations Esséniennes ! Allez bonne nuit !!! Aujourd'hui, cérémonie de Beltane avec les Esséniens. Belle journée. Platon a pris le bébé (sexuellement) les animaux nous ont accompagnés. Surtout les lamas. La pluie s'est arrêtée pile poil pendant la cérémonie. Accident : je me suis fait mal au dos en portant une grosse pierre pour faire le menhir de la cérémonie",2025-05-10,406137.0,1.1,95.5,Gibbeuse Croissante,Balance,1.0097,1.1374,0.528,1.5082,5.941,10.1899,Vénus,Soleil,Mercure,0.528,1.0097,1.1374,False,False,False,False,False,Aucun,2.25,4.67,Actif,20.6,10.1,0.0,16.6,994.6,3,False,2,Ombre,134,70,7,0,0,0,7,1.0097,Modéré (120-150),Modéré (50-100)
11/05/2025,Kan,Can,Kan Can,#99CCFF,"Drôle de journée. Hélia a fait son BRC, elle est entrée dans la Nation Essénienne. Grosse fatigue, mais plaisir d'être ensemble et vrais beaux moments de partage avec cette belle bande d'humains. Il faut qu'on travaille avec Hopper pour le mettre sur le chemin de lui-même. Il est trop pris par ses peurs, ses empêchements et dans son tempérament de bébé qui l'oblige à vouloir attirer l'attention coûte que coûte.",2025-05-11,406188.0,1.0,98.6,Pleine Lune,Scorpion,1.01,1.1522,0.5357,1.5172,5.9499,10.1768,Vénus,Soleil,Mercure,0.5357,1.01,1.1522,False,False,False,False,False,Aucun,2.75,4.67,Actif,20.8,11.4,0.3,20.3,990.9,51,False,1,Persona,126,77,16,1,0,1,17,1.01,Modéré (120-150),Modéré (50-100)
12/05/2025,Chicchan,Ho,Chicchan Ho,#CCFFCC,"Gaël est venu manger avec nous. Une belle personne. Je profite de ce dernier jour Chicchan pour finaliser l'app. Encore des bugs, mais ça va s'arranger. A 18h23, je pense que la version est bien. ne me reste plus qu'à faire la page de fonctionnement",2025-05-12,405539.0,2.3,99.9,Pleine Lune,Scorpion,1.0102,1.1667,0.5434,1.5262,5.9587,10.1636,Vénus,Soleil,Mercure,0.5434,1.0102,1.1667,False,False,False,False,False,Aucun,1.5,2.0,Légèrement actif,20.8,9.9,3.3,16.0,990.5,63,False,3,Persona,116,64,9,0,0,0,9,1.0102,Faible (<120),Modéré (50-100)
13/05/2025,Cimi,Wak,Cimi Wak,#CCFFCC,"l'App est finie. Il est 3:00 du mat. J'ai trois heures de retard, mais je suis content. J'ai détruit le site aujourd'hui jour de la mort. En supprimant des caches que je croyais obsolètes. Du coup, ni l'app, ni le site ne marchent plus.",2025-05-13,404253.0,4.9,99.5,Pleine Lune,Sagittaire,1.0104,1.181,0.5512,1.5351,5.9673,10.1502,Vénus,Soleil,Mercure,0.5512,1.0104,1.181,False,False,False,False,False,Aucun,1.96,3.67,Légèrement actif,21.0,10.4,0.6,10.0,992.6,51,False,2,Ombre,117,54,2,0,1,1,3,1.0104,Faible (<120),Modéré (50-100)
14/05/2025,Manik,Uuc,Manik Uuc,#99FF99,"Un peu la trouille de mon départ tout à l'heure et de la responsabilité des concerts de cette semaine. Le site est revenu et l'app aussi. Une coccinelle jaune s'est posée sur ma main pendant que je buvais mon café dehors profitant du soleil. Moment de contemplation, rare ces derniers jours.",2025-05-14,402364.0,8.6,97.2,Pleine Lune,Sagittaire,1.0106,1.1949,0.559,1.5441,5.9758,10.1367,Vénus,Soleil,Mercure,0.559,1.0106,1.1949,False,False,False,False,False,Aucun,2.88,3.67,Légèrement actif,21.8,8.7,3.0,11.1,993.8,61,False,-1,Héros,122,53,6,4,1,5,11,1.0106,Modéré (120-150),Modéré (50-100)
15/05/2025,Lamat,Waxak,Lamat Waxak,#FFCC99,"Ce matin au réveil le corps est plein de douleurs. Le dos depuis samedi et là le genou reprend.... A chaque fois que je suis à Paris (pas la dernière fois, mais la fois d'avant). Julie a été ajoutée au Tzolkin ce matin. Arrivée de Philippe à l'appartement jusqu'à mardi",2025-05-15,399883.0,13.6,93.1,Gibbeuse Croissante,Sagittaire,1.0109,1.2086,0.5669,1.5529,5.984,10.123,Vénus,Soleil,Mercure,0.5669,1.0109,1.2086,False,False,False,False,False,Aucun,2.67,3.67,Légèrement actif,24.9,11.8,0.0,18.6,988.6,2,False,1,Corps,119,45,9,1,0,1,10,1.0109,Faible (<120),Faible (<50)
16/05/2025,Muluc,Bolon,Muluc Bolon,#FFFF99,Fatigue venant du mois de création d'appli. Mais le morale est bon et le ciel est ensoleillé. Ambiance vacances et l'impression d'être reconnu pour mon travail. Agréable,2025-05-16,396807.0,19.7,87.2,Gibbeuse Croissante,Capricorne,1.0111,1.2217,0.5747,1.5618,5.9921,10.1092,Vénus,Soleil,Mercure,0.5747,1.0111,1.2217,False,False,False,False,False,Aucun,2.33,3.67,Légèrement actif,21.0,11.4,0.8,15.1,989.4,51,False,3,Persona,117,57,6,0,0,0,6,1.0111,Faible (<120),Modéré (50-100)
17/05/2025,Oc,Lahun,Oc Lahun,#FF9999,Grosse fatigue. Une journée de dingues ! Mal au dos. Vraiment.,2025-05-17,393135.0,27.0,79.8,Gibbeuse Croissante,Capricorne,1.0113,1.2345,0.5826,1.5706,6.0,10.0953,Vénus,Soleil,Mercure,0.5826,1.0113,1.2345,False,False,False,False,False,Aucun,4.37,6.33,Tempête modérée (G2),21.6,8.8,0.1,13.6,992.1,51,False,-4,Corps,117,58,1,0,0,0,1,1.0113,Faible (<120),Modéré (50-100)
