Date,Heure,Lieu,Lat,Lon,Glyphe,Ton,Trecena,Emotion,Texte
"14/05/2025","","","","","Manik","","","",""
"15/05/2025","","","","","Lamat","","","",""
"18/05/2025","","","","","Chuen","","","",""
"21/06/2025","","","","","Chicchan","","","",""
"28/06/2025","","","","","Eb","","","",""
"01/07/2025","","","","","Men","","","",""
"02/07/2025","","","","","Cib","","","",""
"05/07/2025","","","","","Cauac","","","",""
"07/07/2025","","","","","Imix","","","",""
"09/07/2025","","","","","Akbal","","","",""
"14/07/2025","","","","","Lamat","","","",""
"15/07/2025","","","","","Muluc","","","",""
"18/07/2025","","","","","Eb","","","",""
"26/07/2025","","","","","Ahau","","","",""
"04/08/2025","","","","","Muluc","","","",""
"07/08/2025","","","","","Eb","","","",""
"10/08/2025","","","","","Men","","","",""
"18/08/2025","","","","","Akbal","","","",""
"24/08/2025","","","","","Muluc","","","",""
"26/08/2025","","","","","Chuen","","","",""
"31/08/2025","","","","","Cib","","","",""
"11/09/2025","","","","","Manik","","","",""
"29/09/2025","","","","","Chicchan","","","",""
"07/10/2025","","","","","Ben","","","",""
"08/10/2025","","","","","Ix","","","",""
"11/10/2025","","","","","Caban","","","",""
"25/11/2025","","","","","Ik","","","",""
"01/12/2025","","","","","Lamat","","","",""
"15/12/2025","","","","","Ik","","","",""
"19/12/2025","","","","","Cimi","","","",""
"07/01/2026","","","","","Chicchan","","","",""
"12/01/2026","","","","","Oc","","","",""
"17/01/2026","","","","","Men","","","",""
"25/01/2026","","","","","Akbal","","","",""
"30/01/2026","","","","","Lamat","","","",""
"01/02/2026","","","","","Oc","","","",""
"11/02/2026","","","","","Ahau","","","",""
"14/02/2026","","","","","Akbal","","","",""
"20/02/2026","","","","","Muluc","","","",""
"24/02/2026","","","","","Ben","","","",""
"25/02/2026","","","","","Ix","","","",""
"27/02/2026","","","","","Cib","","","",""
