Date,Heure,Lieu,Lat,Lon,Glyphe,Ton,Trecena,Emotion,Texte
"14/05/2025","","","","","Manik","7","","Joie,Sérénité,Extase","Post weekend Beltane au Parédé, magique.
Hélia a réussi ses examens
Pêche avec Galiléo très chouette moment
Préparation départ Alexandre à Paris
Freins chauffent sur la route mais se réparent
Oc peut venir avec nous aux stages à Terre D'émeraude :)) fluidité ."
"15/05/2025","","","","","Lamat","8","","Joie,Sérénité,Extase","Très belle journée, efficace, joyeuse, avancé en admin +++, Florence accepte Oc aux Stages, RA Ouriel annulée hier donc propose célébration au Parédé le 7-8 juin, communication+++ (depuis 1 mois) ménage et jardinage++ , prière ++. Hier Galiléo découvre un nid de moineau dans le mur dev façade de Gaston . Nid de merle dans le laurier aussi :)"
"18/05/2025","","","","","Chuen","11","","Joie,Sérénité,Extase","Hier et avant hier joyeuse journée, jeudi j'ai commencé à travailler le chant du mariage en Sindarin.
Annulation de la Ronde des Archanges d'Ouriel . Douceur et flexibilité d'Alexandre.
Organisation le de Colombe de Paix pour la Pentecôte.
Vendredi grand débroussaillage dans le jardin ouvre une nouvelle zone, très satisfaisant.
Maynats et joue avec Galiléo et Oc ."
"21/06/2025","","","","","Chicchan","6","","Joie,Sérénité,Extase","Semaine de preparation à la célébration d'Ouriel
Projet pour l école d'Isis : Préparation de la cérémonie de la Fleur d'Amour que je porte pour la première fois.
Méditation et enseignement de la Fleur . Lien avec la séparation d'avec Rita. M
Avant hier lourdes achat des statues de Marie .
Aujourd'hui Célébration du Culte de la Pureté."
"28/06/2025","","","","","Eb","13","","","Dimanche 22 juin 7 réflexion fin cycle tournant..."
"01/07/2025","","","","","Men","3","","Joie,Sérénité,Extase","Vendredi 27 juillet 12 chuen singe..."
"02/07/2025","","","","","Cib","4","","Joie,Sérénité,Extase","4 stabilité cib vautour hibou. Kiné Lourdes pèche vallon salut."
"05/07/2025","","","","","Cauac","7","","Joie,Sérénité,Extase","Journée à Saint Jean de Luz à mer . Très chouette."
"07/07/2025","","","","","Imix","9","","Colère,Contrariété,Rage","Aujourd'hui le 7 juillet 9 Imix : Un peu de contrariété."
"09/07/2025","","","","","Akbal","11","","Joie,Sérénité,Extase","Repos pour Galiléo blessé, énergie plus paisible et joyeuse."
"14/07/2025","","","","","Lamat","3","","Joie,Sérénité,Extase","Stage comm animal 1 : bonne descente dans le corps guérison ouverture."
"15/07/2025","","","","","Muluc","4","","Joie,Sérénité,Extase","4 muluk. Hier accueil Nicolas stage pierre."
"18/07/2025","","","","","Eb","7","","Joie,Sérénité,Extase","Twingo tombe en panne. Dentiste Galiléo."
"26/07/2025","","","","","Ahau","2","","Joie,Sérénité,Extase","Depuis le 20 juillet vacances chez Nani et Jean Louis."
"04/08/2025","","","","","Muluc","11","","Joie,Sérénité,Extase","29 juillet au 2 Août. Chantier serre avec Julien et Cédric."
"07/08/2025","","","","","Eb","1","","Joie,Sérénité,Extase","Chantier serre depuis mardi 5 avec Carole et Cédric et Rose."
"10/08/2025","","","","","Men","4","","","Mercredi 6 Alexandre se fâche parcequ'on creuse dans la chaleur des serres."
"18/08/2025","","","","","Akbal","12","","","13 Août papa tombe"
"24/08/2025","","","","","Muluc","5","","Joie,Sérénité,Extase","Hier 23 Août 4 Lamat départ Hélia à Nantes."
"26/08/2025","","","","","Chuen","7","","Joie,Sérénité,Extase","le 26 Août : 7 chuen. Magnifique journée avec Galiléo."
"31/08/2025","","","","","Cib","12","","Joie,Sérénité,Extase","Le 26 Août journée merveilleuse avec Galiléo via Ferrata."
"11/09/2025","","","","","Manik","10","","Joie,Sérénité,Extase","11/09 Créativité : Aujourd'hui on décide de faire du mime en Anglais."
"29/09/2025","","","","","Chicchan","2","","Joie,Sérénité,Extase","Céline est arrivé la semaine dernière."
"07/10/2025","","","","","Ben","10","","Tristesse,Songerie,Chagrin","7/10 belle journée avec Rose et Mathieu."
"08/10/2025","","","","","Ix","11","","Joie,Sérénité,Extase","8/10 belle journée, Anniversaire Rose."
"11/10/2025","","","","","Caban","1","","Joie,Sérénité,Extase","9 au 10/10 très chouette moment."
"25/11/2025","","","","","Ik","7","","Joie,Sérénité,Extase","19/11 évaluation de l'éducation nationale."
"01/12/2025","","","","","Lamat","13","","Joie,Sérénité,Extase","Du 25 au 29/11 Nous travaillons sur l'album."
"15/12/2025","","","","","Ik","1","","","Semaine d'effervescence pour la création de mon album."
"19/12/2025","","","","","Cimi","5","","Joie,Sérénité,Extase","On monte à Paris en famille."
"07/01/2026","","","","","Chicchan","11","","Joie,Sérénité,Extase","06 au 08/01/2026 Visite de Rose et Mathieu."
"12/01/2026","","","","","Oc","3","","Joie,Sérénité,Extase","08/01 Repas avec Coralie et Landry."
"17/01/2026","","","","","Men","8","","Joie,Sérénité,Extase","17/01 Bonne entente avec Galiléo."
"25/01/2026","","","","","Akbal","3","","Colère,Contrariété,Rage","Jeudi 25 et vendredi 26 janvier discussion avec Céline."
"30/01/2026","","","","","Lamat","8","","","29/01 Alexandre dit tu t'immisces entre Dieu."
"01/02/2026","","","","","Oc","10","","Colère,Contrariété,Rage","Grosse colère avec Galiléo."
"11/02/2026","","","","","Ahau","7","","Joie,Sérénité,Extase","11/02 7 Ahau. Journée très lumineuse."
"14/02/2026","","","","","Akbal","10","","Joie,Sérénité,Extase","14/02 10 Akbal. De nouveau communication franche."
"20/02/2026","","","","","Muluc","3","","Joie,Sérénité,Extase","17/02 Monte à Paris. Départ et Trajet très fluide."
"24/02/2026","","","","","Ben","7","","Tristesse,Songerie,Chagrin","Samedi 21 Février. Repas avec Ghassan et Hélia."
"25/02/2026","","","","","Ix","8","","","Alexandre se couche trop tard."
"27/02/2026","","","","","Cib","10","","","27/02 Retour à Bagnères fluide."
